Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
40,35,4035,40-35,,0,Tracy & O'Brien,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
40,36,4036,40-36,Tinney,1,Oh & Tracy,1,1,1,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
40,37,4037,40-37,O'Brien,1,Oh & Wolfe,1,1,1,1,3,,5,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
40,38,4038,40-38,Tracy,1,Oh & Williams,1,,1,1,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40,39,4039,40-39,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,4040,40-40,Tie: O'Brien/Taubenberger,1,,0,,2,,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,4041,40-41,Tinney,1,,0,,1,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,42,4042,40-42,O'Brien,1,,0,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,43,4043,40-43,,0,,0,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,44,4044,40-44,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,45,4045,40-45,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,46,4046,40-46,Tinney,1,,0,,1,,2,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,47,4047,40-47,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,48,4048,40-48,Oh,2,,0,,3,,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,49,4049,40-49,Tracy,1,,0,1,1,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,50,4050,40-50,,0,Tinney & Wolfe,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
40,51,4051,40-51,O'Brien,1,,0,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,4101,41-1,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,4102,41-2,Tracy,1,Tinney & O'Brien,1,,1,1,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
41,3,4103,41-3,Tinney,2,,0,1,3,,1,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,4104,41-4,O'Brien,2,,0,2,6,,3,,7,1,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,4105,41-5,O'Brien,1,,0,1,1,,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6,4106,41-6,Tinney,1,O'Brien & Taubenberger,1,,1,1,4,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
41,7,4107,41-7,Oh,2,Tie: Oh & O'Brien/Oh & Taubenberger,1,,4,2,2,,5,2,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,
41,8,4108,41-8,Tie: Oh/Tracy/Williams,1,Tie: Oh & Taubenberger/Tinney & Taubenberger/O'Brien & Taubenberger,1,1,3,3,,,4,1,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,
41,9,4109,41-9,Tie: Oh/O'Brien/Tracy,1,,0,,3,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10,4110,41-10,Tinney,2,,0,2,5,,,,2,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,4111,41-11,Tie: Oh/O'Brien/Williams,1,Tie: Oh & Tracy/Oh & Tinney,1,,3,2,5,,5,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
41,12,4112,41-12,Oh,1,Tie: Tracy & O'Brien/O'Brien & Wolfe,1,,1,2,5,,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
41,13,4113,41-13,Tracy,2,Tie: Oh & Tracy/Oh & Tinney/Oh & Williams/Tinney & O'Brien/Taubenberger & Wolfe,1,3,5,5,3,2,3,1,1,2,,,1,,,,1,1,,,1,,,,,,,,,,1,,,,,1,,
41,14,4114,41-14,Tie: Oh/Williams,1,,0,,2,,,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
41,15,4115,41-15,Oh,3,Tie: Oh & O'Brien/Williams & Tracy/Tinney & Taubenberger,1,1,4,3,6,4,3,3,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,,,,,
41,16,4116,41-16,Taubenberger,1,,0,1,1,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17,4117,41-17,Oh,2,Tie: Tracy & Tinney/O'Brien & Taubenberger,1,2,3,2,4,3,6,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,
41,18,4118,41-18,Tie: Oh/O'Brien/Taubenberger,1,Tie: Oh & Tracy/Tracy & Tinney/Taubenberger & Wolfe,1,1,3,3,,2,8,1,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,1,,
41,19,4119,41-19,Tie: Oh/Tracy/Tinney,1,Oh & O'Brien,1,,3,1,6,1,5,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
41,20,4120,41-20,O'Brien,1,Tie: Oh & Taubenberger/Tinney & O'Brien,1,,1,2,2,1,3,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
41,21,4121,41-21,,0,Oh & Tracy,1,,,1,4,1,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
41,22,4122,41-22,Tinney,3,,0,1,3,,1,2,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23,4123,41-23,Tie: Oh/O'Brien,1,Tracy & Tinney,1,3,2,1,5,2,8,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
41,24,4124,41-24,Tie: Oh/Tracy/Williams,1,Tie: Williams & Tracy/Tinney & Wolfe,1,,3,2,1,1,4,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
41,25,4125,41-25,Tie: Taubenberger/Williams,1,Tie: Oh & Williams/Tinney & O'Brien/O'Brien & Taubenberger,1,1,2,3,4,,6,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,
41,26,4126,41-26,Tie: Oh/Taubenberger/Wolfe,1,Tinney & Wolfe,2,1,3,3,2,1,2,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,2,,,,,
42,1,4201,42-1,,0,,0,1,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,4202,42-2,Williams,1,,0,,1,,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42,3,4203,42-3,Tracy,1,,0,1,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,4204,42-4,,0,Williams & Tracy,1,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
42,5,4205,42-5,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,4206,42-6,Oh,1,Tie: Oh & Tracy/Tracy & O'Brien,1,3,1,2,1,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
42,7,4207,42-7,,0,,0,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8,4208,42-8,,0,Tracy & Wolfe,1,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
42,9,4209,42-9,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,4210,42-10,Tie: O'Brien/Williams,1,,0,2,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42,11,4211,42-11,Tracy,1,,0,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,4212,42-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13,4213,42-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,14,4214,42-14,Oh,2,,0,,2,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,4215,42-15,Oh,1,,0,2,1,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,16,4216,42-16,,0,,0,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,17,4217,42-17,,0,Tinney & Wolfe,1,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
42,18,4218,42-18,Tie: Oh/Tinney,1,Tinney & Wolfe,1,,2,1,3,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
42,19,4219,42-19,,0,Oh & Williams,1,,,1,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
42,20,4220,42-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,21,4221,42-21,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,22,4222,42-22,Oh,1,,0,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,23,4223,42-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,24,4224,42-24,,0,Oh & O'Brien,1,1,,1,4,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
42,25,4225,42-25,,0,Oh & Wolfe,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
43,1,4301,43-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,4302,43-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,4303,43-3,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,4304,43-4,Tie: Oh/Williams,1,,0,1,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
43,5,4305,43-5,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6,4306,43-6,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,4307,43-7,Tie: Taubenberger/Williams,1,,0,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
43,8,4308,43-8,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9,4309,43-9,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,10,4310,43-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11,4311,43-11,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,4312,43-12,Oh,1,,0,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,13,4313,43-13,,0,Oh & Tracy,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
43,14,4314,43-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,15,4315,43-15,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,16,4316,43-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,17,4317,43-17,Oh,1,,0,1,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,18,4318,43-18,Taubenberger,1,,0,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
43,19,4319,43-19,,0,Oh & Wolfe,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
43,20,4320,43-20,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,21,4321,43-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,22,4322,43-22,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,23,4323,43-23,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,24,4324,43-24,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,25,4325,43-25,Tie: Tracy/Williams,1,,0,1,2,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
44,1,4401,44-1,,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,4402,44-2,O'Brien,1,,0,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,4403,44-3,,0,Oh & Tracy,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
44,4,4404,44-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,4405,44-5,,0,Tracy & Wolfe,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
44,6,4406,44-6,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,4407,44-7,,0,Oh & Write & In,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,8,4408,44-8,,0,Williams & Tracy,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
44,9,4409,44-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10,4410,44-10,,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,4411,44-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,4412,44-12,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,13,4413,44-13,,0,Tinney & Wolfe,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
44,14,4414,44-14,Tie: Oh/Wolfe,1,,0,,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
44,15,4415,44-15,,0,Oh & Tinney,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
44,16,4416,44-16,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17,4417,44-17,,0,,0,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,18,4418,44-18,,0,Taubenberger & Wolfe,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
44,19,4419,44-19,,0,Oh & Tracy,1,2,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
45,1,4501,45-1,Oh,2,Tie: Oh & O'Brien/Oh & Tracy/Oh & Taubenberger/Oh & Williams/Williams & Tracy/Tracy & Wolfe,1,2,5,6,13,5,13,2,,1,1,,1,,,1,1,,1,,1,1,,,,,,,,1,,,,,,,,
45,2,4502,45-2,Taubenberger,3,,0,5,5,,8,1,6,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,4503,45-3,Tie: Oh/Tracy/Tinney,3,Tracy & Tinney,6,5,13,15,57,3,21,3,,3,3,1,2,1,,,1,2,1,2,,1,,,,,6,1,,,,,1,,,,,
45,4,4504,45-4,Oh,3,Oh & Tinney,4,5,7,9,15,3,14,3,1,1,2,,,,,3,1,4,,,,,,,,,,1,,,,,,,,,,
45,5,4505,45-5,Oh,5,Oh & Tinney,2,4,10,7,11,2,6,5,,1,1,,3,,,,1,2,,1,,1,,,,,,,,,1,,1,,,,,
45,6,4506,45-6,Oh,5,Tie: Oh & O'Brien/Oh & Tracy/Oh & Tinney/Taubenberger & Wolfe,1,3,8,4,3,,8,5,,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,
45,7,4507,45-7,Oh,3,Tie: Oh & Tinney/Williams & Tinney/O'Brien & Taubenberger,1,2,6,3,9,,9,3,1,,,,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,,
45,8,4508,45-8,Oh,1,,0,4,1,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9,4509,45-9,,0,Tinney & O'Brien,2,,,3,,,3,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,
45,10,4510,45-10,Oh,1,,0,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11,4511,45-11,Tracy,1,,0,1,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,4512,45-12,O'Brien,1,,0,,1,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13,4513,45-13,Tie: O'Brien/Tinney,1,O'Brien & Wolfe,1,1,2,1,1,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
45,14,4514,45-14,Williams,1,Tie: Oh & O'Brien/Tracy & Taubenberger,1,,1,2,1,,2,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,
45,15,4515,45-15,Tie: Oh/Tracy/Tinney/Williams,1,Tie: Oh & Tracy/Tinney & Taubenberger,1,3,4,2,7,2,7,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,
45,16,4516,45-16,Tie: Tinney/Taubenberger,1,Tie: Oh & Wolfe/Tracy & O'Brien,1,,2,2,,,3,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
45,17,4517,45-17,Tracy,4,Tie: Williams & Taubenberger/Tracy & Wolfe,1,,6,2,1,1,2,1,1,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
45,18,4518,45-18,,0,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,19,4519,45-19,Tracy,2,Taubenberger & Wolfe,1,,3,1,2,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
45,20,4520,45-20,Tie: Oh/O'Brien,3,Tie: Oh & Tracy/O'Brien & Taubenberger,3,4,8,11,16,2,13,3,3,,1,,,1,,1,3,,,,,,,,1,,,,,,2,,1,3,,,,
45,21,4521,45-21,Tinney,1,Oh & Williams,1,1,1,1,,1,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
45,22,4522,45-22,Oh,3,Oh & Tracy,3,4,6,10,5,1,8,3,,1,1,,,1,,1,3,2,,,1,,,,,1,,1,,1,,,,,,,,
45,23,4523,45-23,Tie: Tracy/Wolfe,2,Tie: Oh & O'Brien/Oh & Tracy/Oh & Wolfe,1,5,6,3,8,3,10,1,,2,,,2,1,,1,1,,,1,,,,,,,,,,,,,,,,,,
45,24,4524,45-24,Oh,9,Oh & Tracy,3,6,16,9,12,2,15,9,1,2,,1,1,2,,1,3,,,,1,,,,,,2,,,,,1,,,,1,,
45,25,4525,45-25,Oh,3,Oh & Wolfe,1,6,8,1,11,3,8,3,1,2,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
46,1,4601,46-1,Wolfe,1,,0,1,1,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,4602,46-2,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,4603,46-3,Tie: Wolfe/Williams,1,,0,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
46,4,4604,46-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,4605,46-5,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
46,6,4606,46-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,4607,46-7,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,8,4608,46-8,Oh,1,Oh & Wolfe,1,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
46,9,4609,46-9,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10,4610,46-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11,4611,46-11,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12,4612,46-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13,4613,46-13,Wolfe,1,Tinney & Wolfe,1,1,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
46,14,4614,46-14,Wolfe,1,,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46,15,4615,46-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,16,4616,46-16,Wolfe,2,Tie: Oh & O'Brien/Taubenberger & Wolfe,1,,3,2,1,1,4,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,1,,
46,17,4617,46-17,Wolfe,4,,0,,4,,2,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
46,18,4618,46-18,,0,Williams & Wolfe,2,,,2,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
46,19,4619,46-19,Tie: Oh/Wolfe,1,,0,,2,,3,,6,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46,20,4620,46-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,21,4621,46-21,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,22,4622,46-22,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,23,4623,46-23,,0,Oh & Wolfe,2,,,3,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,
47,1,4701,47-1,Wolfe,1,,0,,1,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,4702,47-2,,0,,0,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,4703,47-3,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
47,4,4704,47-4,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,4705,47-5,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6,4706,47-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,4707,47-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,4708,47-8,Oh,1,,0,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9,4709,47-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10,4710,47-10,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11,4711,47-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12,4712,47-12,Oh,2,,0,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,13,4713,47-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14,4714,47-14,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,4801,48-1,O'Brien,1,Tinney & O'Brien,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
48,2,4802,48-2,,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,4803,48-3,Tracy,1,,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4,4804,48-4,Williams,1,,0,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
48,5,4805,48-5,,0,Oh & Wolfe,1,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
48,6,4806,48-6,Williams,2,,0,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
48,7,4807,48-7,,0,,0,1,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,8,4808,48-8,,0,,0,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9,4809,48-9,,0,,0,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10,4810,48-10,Wolfe,2,Tinney & Wolfe,1,,3,1,1,1,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,
48,11,4811,48-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12,4812,48-12,Tracy,2,Williams & Tinney,1,2,3,1,1,,4,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
48,13,4813,48-13,Oh,3,Tinney & Wolfe,2,2,3,3,,3,2,3,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,
48,14,4814,48-14,,0,Oh & Tracy,1,4,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
48,15,4815,48-15,Taubenberger,1,,0,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
48,16,4816,48-16,Tinney,2,Tracy & O'Brien,1,3,2,1,2,,3,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,
48,17,4817,48-17,Wolfe,2,,0,1,4,,1,,2,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
48,18,4818,48-18,Oh,2,Taubenberger & Wolfe,1,1,4,1,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
48,19,4819,48-19,Tie: Oh/O'Brien/Tinney,1,Tie: Tinney & O'Brien/O'Brien & Wolfe,1,2,3,2,3,1,3,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
48,20,4820,48-20,Oh,3,Tie: Oh & Tinney/Oh & Williams/Tracy & Tinney/Tinney & Wolfe,1,2,6,4,1,,1,3,1,,,,1,1,,,,1,,,1,,,,,,1,,,,,,1,,,,,
48,21,4821,48-21,Williams,2,,0,4,2,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
48,22,4822,48-22,Tracy,2,Oh & Tracy,2,1,4,2,2,2,3,,,2,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,
48,23,4823,48-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,4901,49-1,Oh,1,,0,,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,4902,49-2,Oh,8,Oh & Tinney,1,,8,1,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
49,3,4903,49-3,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
