,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
8-25,1,3,3,5,1,6,,,3,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,
8-26,1,1,4,2,1,4,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,
8-27,0,1,1,2,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8-28,0,0,2,0,1,6,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
8-29,4,4,7,10,3,8,2,,1,,,,1,,,,,1,,,1,,,,1,,,,1,2,,,,,,1,
8-30,0,0,2,0,0,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1,,,2,3,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
9-2,,2,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-3,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-4,3,1,2,5,1,8,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
9-5,,5,2,3,,1,4,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,
9-6,,4,6,3,1,6,2,,1,,,,1,,,1,,,,1,,,,,,1,,,1,1,,,,,1,,
9-7,2,9,3,5,6,5,2,2,,,2,3,,,1,1,,,,,,,,,,,,,,1,,,,,,,
9-8,,2,3,2,,7,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,
9-9,2,8,6,6,1,3,7,1,,,,,,,,2,1,1,,,,,,,,,,,,,,,,2,,,
9-10,1,6,10,9,5,13,2,,,1,,3,,,1,,,2,,,,,,,1,,,,4,,,,1,,1,,
9-11,1,2,4,7,6,9,1,1,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,
9-12,1,2,1,1,2,6,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
9-13,1,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-14,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-15,,1,2,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
9-16,,1,,3,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9-17,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
10-2,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-7,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-14,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-16,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
